location,title,name,type_appoitment,pay_plan,pay_level_grade,tenure,expires,agency,big_office,little_office,year
"Washington, DC","Special Assistant, Scheduling and Advance ",Joshua T. Mauthe,SC,GS,11,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC","Special Assistant, Scheduling and Advance ",Clifford A. Rosenberger,SC,GS,9,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC","Special Assistant, Scheduling and Advance ",Joseph M. Smith,SC,GS,9,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC",Special Assistant ,Patricia Connally,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC",Special Assistant ,Kristen J. Sabella,SC,GS,11,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC",Special Assistant ,William C. Allen,SC,GS,9,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC",Special Assistant ,Justin A. Kintz,SC,GS,7,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC",Special Assistant ,Jeffrey Daker,SC,GS,7,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE,,2008
"Washington, DC",Deputy Secretary of the Interior ,P. Lynn Scarlett,PAS,EX,II,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC",Counselor to the Deputy Secretary ,Daniel Jorjani,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC",Associate Deputy Secretary ,James E. Cason,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC",Assistant Deputy Secretary ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC",Assistant Deputy Secretary ,Kameran Onley,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC","Executive Director, Office of Historical Trust Accounting ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC","Deputy Director, Office of Historical Trust Accounting ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC",National Borderland Coordinator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC",Special Assistant ,Reid Schuster,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2008
"Washington, DC","Director, Congressional and Legislative Affairs ",Matthew Eames,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2008
"Washington, DC","Deputy Director, Congressional and Legislative Affairs ",Robert G. Howarth,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2008
"Washington, DC",Legislative Counsel ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2008
"Washington, DC",Special Trustee for American Indians ,Ross O. Swimmer,PAS,EX,II,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Principal Deputy Special Trustee ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM","Deputy Special Trustee, Field Operations ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM","Deputy Special Trustee, Trust Accountability ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM","Deputy Special Trustee, Trust Services ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM","Director, Office of Trust Records ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM","Director, Trust Review and Audit ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM","Director, Trust Program Management Center ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2008
"Washington, DC","Chairman, National Indian Gaming Commission ",Phillip N. Hogen,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC","Associate Member, National Indian Gaming Commission ",Norman H. Desrosiers,XS,AD,"$139,600",,01/28/10,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC","Associate Member, National Indian Gaming Commission ",Vacant,XS,AD,,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC",General Counsel ,Vacant,XS,AD,,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC",Deputy General Counsel ,Penny Coleman,XS,AD,"$158,500",,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC",Chief of Staff ,Vacant,XS,AD,,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC",Deputy Chief of Staff ,Vacant,XS,AD,,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC",Director of Contracts ,Vacant,XS,AD,,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC",Director ,Vacant,XS,AD,,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2008
"Washington, DC",Solicitor ,David L. Bernhardt,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC",Deputy Solicitor ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC",Senior Counsel and Special Assistant to the Solicitor ,Jason P. Alberts,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC",Special Assistant ,R. Matthew McKinney,SC,GS,9,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC","Associate Solicitor, Division of Parks and Wildlife ",Robert C. Faber,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC","Associate Solicitor, Mineral Resources ",James D. Harris,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC","Associate Solicitor, General Law ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC","Associate Solicitor, Indian Affairs ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC","Associate Solicitor, Land and Water Resources ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Anchorage, AK","Regional Solicitor, Alaska Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Atlanta, GA","Regional Solicitor, Atlanta ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Lakewood, CO","Regional Solicitor, Rocky Mountain Region, Denver, Colorado ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Newton, MA","Regional Solicitor, Boston ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Albuquerque, NM","Regional Solicitor, Albuquerque ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Portland, OR","Regional Solicitor, Pacific Northwest Region, Portland ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Los Angeles, CA","Regional Solicitor, Pacific Southwest Region, Sacramento ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Salt Lake City, UT","Intermountain Regional Solicitor, Salt Lake City ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2008
"Washington, DC",Inspector General ,Earl E. Devaney,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE INSPECTOR GENERAL,,2008
"Washington, DC",Assistant Secretary Policy Management and Budget ,Vacant,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Senior Advisor to the Assistant Secretary, Policy, Management and Budget ",Monica A. Noe,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Special Assistant, Historic Preservation ",Aimee Jorjani,SC,GS,12,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC",Deputy Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC",Deputy Assistant Secretary for Policy and International Affairs ,Christopher B. Kearney,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Deputy Assistant Secretary, Human Capital, Performance and Partnerships ",Paul D. Hoffman,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Deputy Assistant Secretary, Insular Affairs ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Insular Affairs ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Wildland Fire Coordination ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Civil Rights ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Budget ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Deputy Director, Office of Budget ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Acquisition and Property Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Environmental Policy and Compliance ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Policy Analysis ",Christine Baglin,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Conservation, Partnerships and Management Policy ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Office of Planning and Performance Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Natural Resources Damage Assessment and Restoration Program ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, Strategic Employee Development ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Principal Deputy Director, Office of Hearings and Appeals ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Deputy Director, Office of Environmental Policy and Compliance ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Deputy Director, Office of Policy Analysis ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Associate Director, Facility and Property Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Associate Director, Acquisition and Financial Assistance ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Assistant Director, Human Resource Systems ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Boise, ID","Project Director, Fire Program Analysis ",Donna K. Scholz,TA,ES,,,12/23/09,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Program Director, Financial and Business Management System ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2008
"Washington, DC","Director, National Business Center ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2008
"Denver, CO",Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2008
"Washington, DC",Chief Financial Advisor ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2008
"Washington, DC",Chief Appraiser ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2008
"Herndon, VA","Associate Director, Acquisition Services ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2008
"Lakewood, CO","Associate Director, Human Resources Directorate ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2008
"Boise, ID","Associate Director, Aviation Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2008
"Washington, DC",Assistant Secretary for Fish and Wildlife and Parks ,R. Lyle Laverty Jr,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC",Chief of Staff ,Janet R. Naughton,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC",Special Assistant for Fish and Wildlife and Parks ,Jennifer M. Klos,SC,GS,12,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC",Deputy Assistant Secretary and Counselor to the Assistant Secretary ,Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC",Deputy Assistant Secretary for Fish and Wildlife and Parks ,Kaush Arha,,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC",Deputy Assistant Secretary for Fish and Wildlife and Parks ,David M. Verhey,,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC",Deputy Assistant Secretary for Fish and Wildlife and Parks ,Mitchell J. Butler,,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC",Deputy Assistant Secretary for Fish and Wildlife and Parks ,James A. Mosher,,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Miami, FL","Executive Director, South Florida Ecosystem Restoration Task Force ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Miami, FL","Director, Everglades Restoration Initiatives ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,,2008
"Washington, DC","Director, National Park Service ",Mary Amelia Bomar,PAS,EX,V,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
"Washington, DC",Special Assistant to the Director ,Owen Mark Simcoe,SC,GS,7,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
"Washington, DC",Chief of Staff ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
"Washington, DC",Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
"Washington, DC","Deputy Director, Support Services ",Lindi Harvey,,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
"Washington, DC","Deputy Director, Operations ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
"Washington, DC","Assistant Director, Legislative and Congressional Affairs ",John T. Wolfe,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
"Washington, DC","Assistant Director, Business Services ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,National Park Service,2008
